City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,susuman,62.7833,148.1667,-18.56,99,100,1.99,RU,1701114067
276,ciudad lazaro cardenas,17.9583,-102.2,30.07,57,73,3.43,MX,1701114067
277,ban karon,7.8477,98.2985,28.21,76,82,6.75,TH,1701114067
278,remire-montjoly,4.9167,-52.2667,30.02,70,40,6.17,GF,1701114067
279,al hawatah,13.4167,34.6333,30.89,25,0,3.39,SD,1701114067
280,gornyatskiy,48.2915,40.9575,-0.83,69,61,6.64,RU,1701114067
281,guanica,17.9716,-66.908,30.63,63,12,6.04,PR,1701114067
282,viedma,-40.8135,-62.9967,18.43,50,100,12.84,AR,1701114068
283,cambria,35.5641,-121.0808,21.39,36,100,0.99,US,1701114068
284,banda aceh,5.5577,95.3222,24.63,93,98,4.9,ID,1701114068
285,suwayr,30.1171,40.3893,16.52,52,69,3.56,SA,1701114068
286,kingston,17.997,-76.7936,31.8,68,20,3.6,JM,1701114015
287,tralee,52.2704,-9.7026,6.48,81,89,3.47,IE,1701114068
288,georgetown,5.4112,100.3354,26.96,87,20,1.54,MY,1701113848
289,kiraoli,27.15,77.7833,17.53,55,98,2.05,IN,1701114068
290,tyup,42.7276,78.3648,3.29,55,100,1.23,KG,1701114068
291,lospalos,-8.5186,127.0025,22.7,87,93,0.39,TL,1701113909
292,thurso,58.5927,-3.5259,6.14,77,90,1.32,GB,1701114068
293,khairpur,27.5295,68.7617,16.0,51,2,2.76,PK,1701114068
294,santyoku,37.4406,129.1708,4.42,64,10,8.75,KR,1701114068
295,peace river,56.2501,-117.286,5.17,65,40,8.23,CA,1701114068
296,arkhangel'sk,64.5401,40.5433,-10.49,82,100,5.85,RU,1701114058
297,uaua,-9.8414,-39.4817,34.98,19,8,4.81,BR,1701114068
298,port blair,11.6667,92.75,29.02,79,40,3.09,IN,1701114069
299,mar del plata,-38.0023,-57.5575,22.13,93,100,6.17,AR,1701113469
300,vodnyy,63.5046,53.4095,-5.88,95,100,3.92,RU,1701114069
301,mildura,-34.2,142.15,17.26,74,27,2.73,AU,1701114069
302,al bayda',32.7627,21.7551,10.8,61,39,3.95,LY,1701114069
303,minas de marcona,-15.2119,-75.1103,20.29,56,71,6.83,PE,1701114069
304,pemangkat,1.1667,108.9667,25.85,86,98,2.14,ID,1701114069
305,bethanie,-26.4833,17.15,32.54,15,62,8.22,NA,1701114069
306,sosnovo-ozerskoye,52.5249,111.5418,-23.72,99,38,1.44,RU,1701114069
307,kavaratti,10.5669,72.642,28.51,72,53,2.32,IN,1701114069
308,alice springs,-23.7,133.8833,20.75,52,89,3.09,AU,1701114069
309,nemuro,43.3236,145.575,7.03,87,100,7.07,JP,1701114069
310,ciudad del carmen,18.6333,-91.8333,27.7,71,100,2.85,MX,1701114070
311,gaitania,3.0906,-75.6723,24.5,69,49,1.74,CO,1701114070
312,pacific grove,36.6177,-121.9166,20.36,36,0,2.57,US,1701114070
313,sokoni,-6.4333,39.55,27.06,81,25,4.7,TZ,1701114070
314,beledweyne,4.7358,45.2036,28.36,47,100,3.48,SO,1701114070
315,sydney,-33.8679,151.2073,20.98,80,75,4.63,AU,1701113910
316,bouar,5.934,15.596,21.92,66,85,0.85,CF,1701114070
317,labrador city,52.9463,-66.9114,-1.05,93,100,7.72,CA,1701114070
318,nizhnyaya tavda,57.6731,66.1725,0.45,86,100,5.0,RU,1701114070
319,chonchi,-42.6128,-73.8092,15.62,59,100,3.7,CL,1701114070
320,dwarka,22.2394,68.9678,22.94,63,0,5.18,IN,1701114070
321,nybro,56.7446,15.9071,-3.86,67,15,4.63,SE,1701113470
322,nefta,33.8731,7.8777,15.14,47,42,2.4,TN,1701114071
323,piacabucu,-10.4056,-36.4344,26.78,74,17,4.46,BR,1701114071
324,cuamba,-14.8031,36.5372,27.94,41,99,1.71,MZ,1701114071
325,wynyard,-41.0,145.7167,13.08,87,100,3.98,AU,1701114071
326,nurota,40.5614,65.6886,16.11,41,41,5.24,UZ,1701114071
327,el coacoyul,17.6167,-101.4333,31.53,58,100,2.57,MX,1701114071
328,kruisfontein,-34.0033,24.7314,14.57,88,0,0.29,ZA,1701114071
329,kalach,50.4258,41.0261,-1.69,76,100,7.82,RU,1701114071
330,qianzhou,28.3167,109.7167,12.38,85,1,0.77,CN,1701114071
331,severo-yeniseyskiy,60.3725,93.0408,-27.62,97,11,1.03,RU,1701114071
332,dunedin,-45.8742,170.5036,13.22,92,93,0.45,NZ,1701114071
333,prado,-17.3411,-39.2208,25.07,81,78,2.8,BR,1701114071
334,sopur,34.3,74.4667,9.56,45,100,0.45,IN,1701114071
335,prince rupert,54.3161,-130.3201,7.83,96,100,10.8,CA,1701114072
336,inhambane,-23.865,35.3833,23.15,86,0,3.32,MZ,1701114072
337,san antonio de pale,-1.4014,5.6325,26.08,81,100,2.72,GQ,1701114072
338,de bilt,52.11,5.1806,3.87,95,100,2.24,NL,1701114072
339,mount pearl,47.5166,-52.7813,2.2,76,75,4.12,CA,1701114072
340,saipan,15.1355,145.701,26.39,94,100,4.63,MP,1701114072
341,bemidji,47.4736,-94.8803,-10.53,72,100,8.23,US,1701114072
342,ternate,0.8,127.4,26.95,80,100,1.17,ID,1701114072
343,vorgashor,67.5833,63.95,-22.61,98,5,2.05,RU,1701114072
344,nouadhibou,20.931,-17.0347,21.99,53,100,6.17,MR,1701114072
345,macomb,40.4592,-90.6718,-1.76,67,12,7.6,US,1701114072
346,cidreira,-30.1811,-50.2056,22.08,88,100,8.57,BR,1701114072
347,athens,37.9795,23.7162,12.31,56,20,1.34,GR,1701113621
348,sitka,57.0531,-135.33,6.94,87,100,2.06,US,1701114073
349,belmonte,-15.8631,-38.8828,26.53,66,1,3.42,BR,1701114073
350,malanje,-9.5402,16.341,18.13,98,100,1.09,AO,1701114073
351,brak,27.5496,14.2714,15.74,33,92,2.89,LY,1701114073
352,buston,40.2342,69.6948,6.1,87,0,3.0,TJ,1701114073
353,vernon,50.2581,-119.2691,4.78,68,62,2.24,CA,1701114073
354,cartagena,10.3997,-75.5144,32.79,66,40,5.14,CO,1701113850
355,galle,6.0367,80.217,25.23,89,100,3.19,LK,1701114073
356,colonia,50.9333,6.95,5.33,91,100,3.6,DE,1701113806
357,rongelap,11.1635,166.8941,27.7,77,15,9.68,MH,1701114073
358,whistler,50.1164,-122.9695,4.2,93,100,0.0,CA,1701114073
359,muisne,0.6,-80.0333,25.52,84,96,5.81,EC,1701114073
360,yass,-34.8333,148.9167,17.79,89,100,4.1,AU,1701114073
361,brisas de zicatela,15.8369,-97.0419,29.91,63,100,2.41,MX,1701114073
362,chibougamau,49.9168,-74.3659,-1.21,93,100,6.69,CA,1701114074
